1		I		0		4667
2		P		120		2355
3		B		40		753
4		B		80		1087
5		P		240		1808
6		B		160		907
7		B		200		775
8		P		360		1491
9		B		280		949
10		B		320		1112
11		I		480		4731
12		B		400		695
13		B		440		546
14		P		600		1874
15		B		520		646
16		B		560		835
17		P		720		1519
18		B		640		614
19		B		680		765
20		P		840		1842
21		B		760		887
22		B		800		797
23		I		960		4671
24		B		880		659
25		B		920		429
26		P		1080		2034
27		B		1000		760
28		B		1040		953
29		P		1200		1782
30		B		1120		860
31		B		1160		887
32		P		1320		1879
33		B		1240		962
34		B		1280		933
35		I		1440		4690
36		B		1360		1331
37		B		1400		1268
38		P		1560		1808
39		B		1480		709
40		B		1520		756
41		P		1680		2016
42		B		1600		1293
43		B		1640		1354
44		P		1800		1949
45		B		1720		1072
46		B		1760		1154
47		I		1920		4611
48		B		1840		1208
49		B		1880		1183
50		P		2040		1914
51		B		1960		1392
52		B		2000		1301
53		P		2160		1972
54		B		2080		1245
55		B		2120		1227
56		P		2280		2044
57		B		2200		1329
58		B		2240		1346
59		I		2400		4798
60		B		2320		1268
61		B		2360		1287
62		P		2520		1951
63		B		2440		1377
64		B		2480		1346
65		P		2640		1938
66		B		2560		1305
67		B		2600		1380
68		P		2760		1897
69		B		2680		1428
70		B		2720		1521
71		I		2880		4541
72		B		2800		1414
73		B		2840		1217
74		P		3000		1815
75		B		2920		1104
76		B		2960		1259
77		P		3120		1912
78		B		3040		1214
79		B		3080		1261
80		P		3240		1770
81		B		3160		1203
82		B		3200		1194
83		I		3360		4575
84		B		3280		1169
85		B		3320		1111
86		P		3480		1757
87		B		3400		1074
88		B		3440		1078
89		P		3600		1919
90		B		3520		988
91		B		3560		1069
92		P		3720		1877
93		B		3640		1037
94		B		3680		1123
95		I		3840		4536
96		B		3760		1154
97		B		3800		1118
98		P		3960		1799
99		B		3880		796
100		B		3920		917
101		P		4080		1799
102		B		4000		1157
103		B		4040		1319
104		P		4200		1907
105		B		4120		1323
106		B		4160		1102
107		I		4320		4555
108		B		4240		1048
109		B		4280		1083
110		P		4440		1761
111		B		4360		1234
112		B		4400		1127
113		P		4560		1883
114		B		4480		1149
115		B		4520		1257
116		P		4680		1819
117		B		4600		1411
118		B		4640		1306
119		I		4800		4564
120		B		4720		1083
121		B		4760		1296
122		P		4920		1844
123		B		4840		1362
124		B		4880		1238
125		P		5040		1885
126		B		4960		1376
127		B		5000		1389
128		P		5160		1893
129		B		5080		1496
130		B		5120		1462
131		I		5280		4458
132		B		5200		1585
133		B		5240		1474
134		P		5400		1788
135		B		5320		1466
136		B		5360		1393
137		P		5520		1918
138		B		5440		1408
139		B		5480		1520
140		P		5640		1858
141		B		5560		1268
142		B		5600		1256
143		I		5760		4300
144		B		5680		1556
